Phrase,Time,INF,IF,F,C
he watched in astonishment,17.25,0,0,0,23
a big scratch on the tabletop,9.6,0,1,1,23
salesmen must make their monthly quota,18.857143,1,0,1,32
saving that child was an heroic effort,13.714286,1,0,0,31
granite is the hardest of all rocks,14.5,0,0,0,29
bring the offenders to justice,16.421053,1,0,0,25
every Saturday he folds the laundry,20.0,0,1,1,29
careless driving results in a fine,17.4,1,0,0,28
microscopes make small things look big,19.8,1,1,0,31
a coupon for a free sample,8.689655,0,1,0,20
fine but only in moderation,9.517241,1,1,1,21
a subject one can really enjoy,12.5,1,0,1,24
important for political parties,13.44,0,0,0,28
that sticker needs to be validated,18.315789,0,1,0,28
the fire raged for an entire month,16.8,0,0,1,28
one never takes too many precautions,16.173913,0,1,1,30
we have enough witnesses,10.08,0,0,1,21
labour unions know how to organize,13.92,1,0,0,28
people blow their horn a lot,16.235294,0,1,0,22
a correction had to be published,18.0,1,0,0,26
I like baroque and classical music,16.571429,0,1,1,28
the proprietor was unavailable,17.052632,0,1,0,26
be discreet about your meeting,10.4,0,0,0,26
meet tomorrow in the lavatory,15.789474,1,0,0,24
suburbs are sprawling up everywhere,18.6,1,0,0,30
shivering is one way to keep warm,13.5,1,0,1,26
dolphins leap high out of the water,17.4,0,0,1,29
try to enjoy your maternity leave,14.608696,1,1,0,26
the ventilation system is broken,12.0,1,0,1,27
dinosaurs have been extinct for ages,24.8,0,0,0,31
an inefficient way to heat a house,12.0,0,1,1,27
the bus was very crowded,14.117647,0,0,1,20
an injustice is committed every day,18.947368,1,0,0,29
the coronation was very exciting,16.8,1,0,0,27
look in the syllabus for the course,12.428571,1,0,1,28
rectangular objects have four sides,12.4,0,1,1,30
prescription drugs require a note,13.92,0,0,1,29
the insulation is not working,17.647059,0,1,1,24
nothing finer than discovering a treasure,21.6,1,0,1,35
our life expectancy has increased,16.571429,0,0,1,29
the cream rises to the top,9.0,0,1,1,20
the high waves will swamp us,10.222222,1,0,1,22
the treasurer must balance her books,14.307692,1,0,1,30
completely sold out of that,9.517241,1,1,0,21
the location of the crime,9.333333,0,0,0,21
the chancellor was very boring,15.6,1,0,0,25
the accident scene is a shrine for fans,22.588235,1,0,1,31
a tumor is OK provided it is benign,14.608696,0,1,1,27
please take a bath this month,9.6,0,1,1,23
rent is paid at the beginning of the month,15.692308,1,1,1,32
for murder you get a long prison sentence,24.0,0,1,1,33
a much higher risk of getting cancer,15.0,0,1,0,29
quit while you are ahead,10.0,0,0,0,20
knee bone is connected to the thigh bone,22.0,1,1,1,31
safe to walk the streets in the evening,21.333333,0,0,0,32
luckily my wallet was found,11.04,1,1,0,21
one hour is allotted for questions,13.384615,0,0,1,29
so you think you deserve a raise,17.333333,0,0,0,26
they watched the entire movie,11.538462,1,1,1,23
good jobs for those with education,12.0,0,1,1,28
jumping right out of the water,18.75,0,0,0,25
the trains are always late,10.56,0,1,1,21
sit at the front of the bus,11.454545,1,1,0,19
do you prefer a window seat,14.666667,1,0,0,21
the food at this restaurant,13.8,0,1,0,22
Canada has ten provinces,14.823529,1,1,0,19
the elevator door appears to be stuck,17.714286,1,1,0,29
raindrops keep falling on my head,16.0,1,1,1,26
spill coffee on the carpet,10.56,0,1,1,21
an excellent way to communicate,12.0,0,0,1,27
with each step forward,10.857143,0,0,0,19
faster than a speeding bullet,13.636364,1,0,1,24
wishful thinking is fine,11.454545,0,0,1,21
nothing wrong with his style,12.521739,1,0,0,23
arguing with the boss is futile,18.352941,1,1,0,24
taking the train is usually faster,13.384615,0,0,1,29
what goes up must come down,13.894737,1,0,1,21
be persistent to win a strike,13.714286,1,0,0,23
presidents drive expensive cars,15.272727,0,1,1,27
the stock exchange dipped,11.0,1,0,1,21
why do you ask silly questions,10.714286,0,0,1,25
that is a very nasty cut,15.2,0,0,0,19
what to do when the oil runs dry,13.043478,0,0,0,25
learn to walk before you run,17.25,1,0,0,22
insurance is important for bad drivers,18.857143,0,1,0,32
traveling to conferences is fun,12.461538,1,1,1,25
do you get nervous when you speak,14.086957,1,0,0,26
pumping helps if the roads are slippery,26.4,1,0,1,32
parking tickets can be challenged,13.384615,0,0,0,29
apartments are too expensive,10.344828,0,1,1,24
find a nearby parking spot,16.5,1,1,0,20
gun powder must be handled with care,17.142857,1,1,1,28
just what the doctor ordered,10.285714,1,1,0,22
a rattle snake is very poisonous,11.571429,1,1,0,25
weeping willows are found near water,15.5,1,1,1,29
I cannot believe I ate the whole thing,16.909091,1,1,0,29
the biggest hamburger I have ever seen,20.210526,0,1,0,31
gamblers eventually loose their shirts,13.6,1,0,0,33
exercise is good for the mind,16.0,1,1,0,22
irregular verbs are the hardest to learn,24.0,1,0,1,33
they might find your comment offensive,24.75,0,0,1,33
tell a lie and your nose will grow,12.461538,1,0,1,26
an enlarged nose suggests you are a liar,13.655172,1,1,1,31
lie detector tests never work,13.043478,0,1,0,24
do not lie in court or else,8.4,0,1,0,20
most judges are very honest,15.333333,1,0,1,22
only an idiot would lie in court,10.758621,1,1,1,24
important news always seems to be late,20.210526,1,0,1,31
please try to be home before midnight,17.714286,1,0,0,30
if you come home late the doors are locked,22.666667,0,0,1,34
dormitory doors are locked at midnight,23.294118,0,0,1,33
staying up all night is a bad idea,21.6,0,1,0,26
you are a capitalist pig,14.117647,1,0,0,19
motivational seminars make me sick,12.857143,1,0,1,29
questioning the wisdom of the courts,20.666667,0,1,0,30
rejection letters are discouraging,14.307692,1,0,0,30
the first time he tried to swim,16.666667,1,0,1,24
that referendum asked a silly question,13.2,0,0,0,33
a steep learning curve in riding a unicycle,21.6,1,1,0,34
a good stimulus deserves a good response,20.4,1,1,0,32
everybody looses in custody battles,14.307692,1,0,1,30
put garbage in an abandoned mine,19.058824,0,1,0,26
employee recruitment takes a lot of effort,21.6,1,1,0,34
experience is hard to come by,12.521739,1,1,1,22
everyone wants to win the lottery,22.4,0,0,0,28
the picket line gives me the chills,15.130435,0,1,0,28
