Phrase,Time,INF,IF,F,C
what you see is what you get,8.0,1,2,0,19
for your information only,10.153846,2,1,1,19
a quarter of a century,9.391304,0,0,0,18
the store will close at ten,12.571429,0,1,0,21
head shoulders knees and toes,13.636364,1,1,0,23
vanilla flavored ice cream,10.222222,0,2,1,21
frequently asked questions,13.090909,1,1,0,22
round robin scheduling,8.571429,1,2,0,17
information super highway,9.517241,1,1,1,21
my favorite web browser,7.741935,1,1,1,18
the laser printer is jammed,9.517241,0,1,0,22
all good boys deserve fudge,11.04,0,2,1,21
the second largest country,9.857143,1,2,0,20
call for more details,7.2,0,0,0,18
just in time for the party,10.5,1,2,1,18
have a good weekend,6.857143,1,0,0,15
video camera with a zoom lens,12.521739,1,1,0,22
what a monkey sees a monkey will do,14.0,1,0,0,27
that is very unfortunate,8.689655,2,1,0,18
the back yard of our house,7.875,2,0,0,19
this is a very good idea,6.705882,1,1,0,17
reading week is just about here,10.758621,1,1,1,24
our fax number has changed,10.56,0,1,0,21
thank you for your help,6.705882,1,0,0,18
no exchange without a bill,7.764706,0,2,0,20
the early bird gets the worm,9.2,0,0,1,23
buckle up for safety,9.272727,1,1,0,15
this is too much to handle,10.5,2,1,1,18
protect your environment,8.516129,1,0,1,21
world population is growing,11.076923,0,1,0,23
the library is closed today,11.5,0,2,1,21
Mary had a little lamb,9.391304,0,1,0,17
teaching services will help,11.076923,1,2,0,21
we accept personal checks,12.571429,1,2,0,19
this is a non profit organization,15.272727,2,0,1,26
user friendly interface,10.5,0,0,1,21
healthy food is good for you,8.903226,0,0,0,23
hands on experience with a job,9.677419,0,0,1,25
this watch is too expensive,11.04,1,1,1,21
the postal service is very slow,10.4,0,1,0,25
communicate through email,8.363636,1,0,0,22
the capital of our nation,11.454545,1,1,0,19
travel at the speed of light,8.363636,2,0,1,21
I do not fully agree with you,9.517241,2,2,1,19
gas bills are sent monthly,11.0,1,2,1,19
earth quakes are predictable,12.0,1,1,1,23
life is but a dream,6.923077,0,1,0,14
take it to the recycling depot,10.0,0,2,0,23
sent this by registered mail,13.714286,0,2,1,22
fall is my favorite season,9.428571,1,1,0,20
a fox is a very smart animal,11.0,2,2,1,18
the kids are very excited,9.692308,1,0,0,20
parking lot is full of trucks,9.290323,1,0,0,23
my bike has a flat tire,9.391304,0,1,0,17
do not walk too quickly,9.12,1,1,0,17
a duck quacks to ask for food,8.363636,2,0,0,21
limited warranty of two years,9.375,1,1,1,23
the four seasons will come,11.478261,1,0,0,21
the sun rises in the east,10.434783,2,1,1,17
it is very windy today,9.391304,1,1,0,16
do not worry about this,9.913043,1,1,0,17
dashing through the snow,8.689655,0,1,1,20
want to join us for lunch,8.571429,0,2,1,18
stay away from strangers,7.875,1,2,0,18
accompanied by an adult,10.0,2,2,1,16
see you later alligator,10.0,1,2,1,17
make my day you sucker,7.714286,1,0,0,17
I can play much better now,10.08,1,0,0,20
she wears too much makeup,8.129032,2,0,0,19
my bare face in the wind,7.862069,0,0,0,19
batman wears a cape,6.0,1,0,0,15
I hate baking pies,5.806452,1,1,0,13
lydia wants to go home,9.818182,0,1,0,17
win first prize in the contest,13.043478,0,0,1,25
freud wrote of the ego,6.352941,0,0,0,18
I do not care if you do that,12.0,1,2,1,18
always cover all the bases,9.103448,1,2,1,19
nobody cares anymore,7.448276,0,0,0,18
can we play cards tonight,8.4,2,0,0,19
get rid of that immediately,11.5,1,2,0,20
I watched blazing saddles,9.428571,1,1,0,20
the sum of the parts,6.857143,0,0,0,16
they love to yap about nothing,12.0,2,1,0,22
peek out the window,6.857143,1,0,0,15
be home before midnight,7.058824,2,1,0,17
he played a pimp in that movie,11.076923,0,2,0,22
I skimmed through your proposal,12.96,1,0,0,26
he was wearing a sweatshirt,11.04,2,2,1,19
no more war no more bloodshed,8.470588,2,0,1,22
toss the ball around,7.555556,0,1,0,16
I will meet you at noon,6.545455,1,0,0,17
I want to hold your hand,10.857143,1,0,0,18
the children are playing,10.956522,1,0,1,20
superman never wore a mask,9.103448,1,2,0,19
I listen to the tape everyday,10.666667,1,2,0,21
he is shouting loudly,6.75,0,0,0,18
correct your diction immediately,14.5,0,1,1,28
seasoned golfers love the game,11.142857,0,0,1,26
he cooled off after she left,8.117647,1,2,1,20
my dog sheds his hair,6.0,1,1,0,15
join us on the patio,7.111111,1,0,0,15
these cookies are so amazing,12.521739,1,2,1,21
I can still feel your presence,14.285714,0,0,1,25
the dog will bite you,8.869565,1,0,0,16
a most ridiculous thing,7.5,0,2,0,18
where did you get that tie,7.875,0,1,1,20
what a lovely red jacket,8.571429,1,0,1,19
do you like to shop on Sunday,8.117647,1,1,0,21
I spilled coffee on the carpet,9.090909,2,1,0,22
the largest of the five oceans,12.0,2,2,1,21
shall we play a round of cards,9.931034,0,0,1,24
olympic athletes use drugs,8.625,0,1,1,22
my mother makes good cookies,9.6,0,2,1,22
do a good deed to someone,9.230769,1,0,0,19
quick there is someone knocking,14.727273,0,2,0,25
flashing red light means stop,10.0,1,1,0,23
sprawling subdivisions are bad,10.125,1,1,1,25
where did I leave my glasses,10.615385,2,0,0,21
on the way to the cottage,10.434783,2,0,0,18
a lot of chlorine in the water,9.931034,1,0,1,23
do not drink the water,7.2,1,0,0,17
my car always breaks in the winter,15.272727,2,2,1,24
santa claus got stuck,8.0,1,1,0,16
public transit is much faster,9.677419,2,1,1,22
zero in on the facts,7.68,1,0,0,15
make up a few more phrases,12.0,2,2,0,17
my fingers are very cold,9.6,2,0,0,18
rain rain go away,7.0,0,1,0,13
bad for the environment,9.6,0,0,1,20
universities are too expensive,14.727273,0,2,1,25
the price of gas is high,10.857143,1,1,0,17
the winner of the race,10.285714,1,0,0,17
we drive on parkways,6.0,1,0,0,16
we park in driveways,6.0,1,1,0,15
go out for some pizza and beer,8.470588,1,0,0,23
effort is what it will take,8.0,2,1,1,19
where can my little dog be,8.129032,1,2,0,18
if you were not so stupid,7.272727,0,1,0,19
not quite so smart as you think,8.823529,2,2,1,21
do you like to go camping,10.0,0,2,0,18
this person is a disaster,8.689655,2,1,1,18
the imagination of the nation,10.714286,0,0,1,25
universally understood to be wrong,13.846154,2,0,1,28
listen to five hours of opera,9.6,1,0,0,23
an occasional taste of chocolate,11.2,2,0,1,26
victims deserve more redress,10.0,2,2,0,21
the protesters blocked all traffic,13.846154,1,1,0,28
the acceptance speech was boring,9.882353,1,2,0,25
work hard to reach the summit,9.0,1,1,0,22
a little encouragement is needed,14.0,0,1,0,27
stiff penalty for staying out late,13.92,1,0,0,28
the pen is mightier than the sword,12.923077,1,2,1,25
exceed the maximum speed limit,13.0,0,1,1,25
in sharp contrast to your words,13.0,0,2,0,24
this leather jacket is too warm,13.0,1,2,0,23
consequences of a wrong turn,9.0,0,0,0,24
this mission statement is baloney,16.571429,0,0,1,29
you will loose your voice,9.333333,2,0,1,19
every apple from every tree,10.222222,0,2,0,21
are you sure you want this,8.129032,1,1,0,19
the fourth edition was better,12.5,1,1,0,23
this system of taxation,7.5,2,1,1,17
beautiful paintings in the gallery,17.142857,0,2,0,28
a yard is almost as long as a meter,9.818182,2,2,0,23
we missed your birthday,8.0,2,2,0,16
coalition governments never work,12.888889,1,2,1,26
destruction of the rain forest,9.176471,1,2,1,23
I like to play tennis,6.0,1,1,0,15
acutely aware of her good looks,13.565217,1,2,0,23
you want to eat your cake,9.230769,2,0,0,18
machinery is too complicated,11.111111,0,0,0,25
a glance in the right direction,13.0,1,1,1,24
I just cannot figure this out,13.714286,0,2,0,22
please follow the guidelines,8.823529,2,2,0,21
an airport is a very busy place,11.538462,2,2,0,21
mystery of the lost lagoon,11.478261,2,0,0,20
is there any indication of this,11.555556,1,2,1,23
the chamber makes important decisions,11.647059,2,0,0,31
this phenomenon will never occur,10.5,1,0,0,27
obligations must be met first,14.285714,0,2,0,23
valid until the end of the year,12.5,1,2,1,22
file all complaints in writing,11.555556,0,1,1,25
tickets are very expensive,8.903226,1,2,0,20
a picture is worth many words,9.0,1,2,0,21
this camera takes nice photographs,11.25,3,1,0,26
it looks like a shack,6.375,1,1,0,15
the dog buried the bone,8.444444,0,1,0,18
the daring young man,6.375,0,1,0,16
this equation is too complicated,14.0,1,1,1,26
express delivery is very fast,11.538462,1,0,1,24
I will put on my glasses,7.125,0,1,0,18
a touchdown in the last minute,13.636364,2,0,0,23
the treasury department is broke,14.0,2,2,1,24
a good response to the question,9.176471,0,2,0,24
well connected with people,9.857143,0,2,1,21
the bathroom is good for reading,11.172414,2,0,1,25
the generation gap gets wider,10.344828,1,1,1,23
chemical spill took forever,11.076923,2,1,1,21
prepare for the exam in advance,14.857143,1,0,0,25
interesting observation was made,12.0,2,2,1,25
bank transaction was not registered,16.909091,3,2,0,26
your etiquette needs some work,10.064516,2,0,1,24
we better investigate this,8.117647,0,1,1,22
stability of the nation,8.888889,2,1,1,17
house with new electrical panel,12.96,1,2,0,24
our silver anniversary is coming,10.5,1,2,0,25
the presidential suite is very busy,15.652174,1,0,0,29
the punishment should fit the crime,10.588235,3,1,0,26
sharp cheese keeps the mind sharp,12.0,2,2,1,24
the registration period is over,12.461538,0,2,1,25
you have my sympathy,6.181818,1,0,0,16
the objective of the exercise,13.043478,1,0,0,24
historic meeting without a result,13.384615,1,0,0,28
very reluctant to enter,8.571429,0,2,1,18
good at addition and subtraction,16.0,2,2,0,24
six daughters and seven sons,8.727273,0,2,1,22
a thoroughly disgusting thing to say,17.714286,1,0,1,30
sign the withdrawal slip,7.875,1,1,1,19
relations are very strained,12.0,0,2,0,22
the minimum amount of time,9.428571,1,2,1,19
a very traditional way to dress,10.064516,1,2,1,23
the aspirations of a nation,8.903226,0,0,0,23
medieval times were very hard,13.636364,2,0,1,23
a security force of eight thousand,16.571429,2,2,1,25
there are winners and losers,11.076923,1,2,0,21
the voters turfed him out,7.875,1,2,1,18
pay off a mortgage for a house,13.714286,1,0,0,23
the collapse of the Roman empire,13.5,2,1,0,24
did you see that spectacular explosion,11.647059,2,0,1,31
keep receipts for all your expenses,12.857143,0,0,1,30
the assault took six months,9.857143,2,1,0,20
get your priorities in order,8.470588,0,1,0,23
traveling requires a lot of fuel,14.727273,1,2,0,24
longer than a football field,9.6,0,0,1,24
a good joke deserves a good laugh,14.727273,1,1,0,25
the union will go on strike,8.0,0,1,0,21
never mix religion and politics,9.818182,0,0,0,27
interactions between men and women,13.846154,2,1,0,27
where did you get such a silly idea,11.586207,1,2,0,25
it should be sunny tomorrow,11.04,1,1,0,21
a psychiatrist will help you,13.090909,1,1,1,22
you should visit to a doctor,11.5,0,1,1,22
you must make an appointment,9.931034,1,2,1,21
the fax machine is broken,7.411765,2,2,1,17
players must know all the rules,11.555556,1,1,1,24
a dog is the best friend of a man,10.344828,2,2,1,21
would you like to come to my house,15.428571,2,1,0,24
February has an extra day,9.333333,0,0,1,21
do not feel too bad about it,8.8,2,2,1,18
this library has many books,10.222222,2,2,0,19
construction makes traveling difficult,20.0,0,1,1,34
he called seven times,8.64,1,1,0,16
that is a very odd question,8.8,0,2,1,20
a feeling of complete exasperation,12.0,3,1,0,26
we must redouble our efforts,9.290323,2,2,1,20
no kissing in the library,12.0,0,2,0,19
that agreement is rife with problems,14.307692,0,0,1,31
vote according to your conscience,10.235294,0,0,1,29
my favourite sport is racketball,12.0,0,0,1,28
sad to hear that news,6.0,0,0,0,17
the gun discharged by accident,11.142857,1,0,1,25
one of the poorest nations,10.56,1,2,1,19
the algorithm is too complicated,15.272727,2,0,0,26
your presentation was inspiring,12.923077,2,2,1,24
that land is owned by the government,13.333333,0,3,0,27
burglars never leave their business card,13.548387,1,1,0,33
the fire blazed all weekend,12.545455,0,2,0,21
if diplomacy does not work,12.0,1,2,0,19
please keep this confidential,13.565217,1,1,0,24
the rationale behind the decision,13.384615,0,0,1,29
the cat has a pleasant temperament,13.384615,1,2,0,26
our housekeeper does a thorough job,17.142857,3,0,0,27
her majesty visited our country,11.172414,2,2,1,23
handicapped persons need consideration,16.8,0,0,1,35
these barracks are big enough,11.538462,0,1,0,24
sing the gospel and the blues,9.0,0,1,1,23
he underwent triple bypass surgery,12.857143,2,0,0,28
the hopes of a new organization,9.75,0,1,1,25
peering through a small hole,11.076923,1,1,1,22
rapidly running short on words,13.565217,2,1,0,23
it is difficult to concentrate,12.48,2,1,1,23
give me one spoonful of coffee,10.344828,1,1,1,23
two or three cups of coffee,8.516129,2,1,0,19
just like it says on the can,10.153846,2,0,0,20
companies announce a merger,9.290323,0,2,1,22
electric cars need big fuel cells,12.0,0,0,0,28
the plug does not fit the socket,14.181818,0,2,1,24
drugs should be avoided,8.0,2,2,0,16
the most beautiful sunset,8.25,0,0,1,22
we dine out on the weekends,11.478261,0,2,0,20
get aboard the ship is leaving,9.375,0,2,1,23
the water was monitored daily,13.636364,0,0,1,25
he watched in astonishment,8.117647,1,0,1,22
a big scratch on the tabletop,11.52,0,1,0,23
salesmen must make their monthly quota,16.5,3,3,1,27
saving that child was an heroic effort,14.222222,1,0,1,31
granite is the hardest of all rocks,13.92,0,2,1,27
bring the offenders to justice,13.565217,2,1,1,23
every Saturday he folds the laundry,15.0,0,3,1,27
careless driving results in a fine,12.888889,2,1,0,26
microscopes make small things look big,14.142857,1,1,0,31
a coupon for a free sample,8.129032,1,2,1,18
fine but only in moderation,12.545455,1,0,1,22
a subject one can really enjoy,9.090909,0,1,1,24
important for political parties,9.882353,1,0,0,27
that sticker needs to be validated,10.875,2,1,1,26
the fire raged for an entire month,12.444444,2,1,0,25
one never takes too many precautions,16.173913,1,2,1,28
we have enough witnesses,9.333333,0,2,1,19
labour unions know how to organize,11.6,1,1,0,27
people blow their horn a lot,10.615385,2,0,0,21
a correction had to be published,12.0,0,0,0,27
I like baroque and classical music,10.875,1,1,0,27
the proprietor was unavailable,13.5,2,0,1,25
be discreet about your meeting,9.75,0,1,1,25
meet tomorrow in the lavatory,10.714286,2,1,1,22
suburbs are sprawling up everywhere,16.173913,3,3,1,25
shivering is one way to keep warm,11.172414,1,1,1,25
dolphins leap high out of the water,12.0,2,2,1,25
try to enjoy your maternity leave,16.0,1,1,0,26
the ventilation system is broken,14.0,2,2,0,24
dinosaurs have been extinct for ages,10.941176,2,3,0,26
an inefficient way to heat a house,15.272727,1,2,0,25
the bus was very crowded,8.571429,1,1,1,18
an injustice is committed every day,11.612903,0,0,0,30
the coronation was very exciting,11.2,1,1,1,26
look in the syllabus for the course,10.235294,1,1,1,27
rectangular objects have four sides,12.4,1,2,1,28
prescription drugs require a note,11.225806,0,2,0,27
the insulation is not working,14.285714,0,0,1,25
nothing finer than discovering a treasure,20.571429,1,1,1,34
our life expectancy has increased,10.875,1,0,0,28
the cream rises to the top,7.636364,1,0,1,20
the high waves will swamp us,11.04,0,2,0,21
the treasurer must balance her books,13.285714,2,2,0,27
completely sold out of that,9.2,0,1,1,22
the location of the crime,11.454545,1,2,0,18
the chancellor was very boring,12.0,1,0,1,25
the accident scene is a shrine for fans,12.8,2,2,1,28
a tumor is OK provided it is benign,16.0,0,0,1,28
please take a bath this month,8.470588,1,2,1,21
rent is paid at the beginning of the month,15.692308,1,0,0,33
for murder you get a long prison sentence,19.428571,1,1,0,32
a much higher risk of getting cancer,11.25,0,0,1,30
quit while you are ahead,10.0,0,2,0,18
knee bone is connected to the thigh bone,13.2,2,2,1,29
safe to walk the streets in the evening,16.695652,3,0,1,29
luckily my wallet was found,8.625,2,0,0,21
one hour is allotted for questions,15.818182,0,0,1,29
so you think you deserve a raise,9.75,2,0,0,24
they watched the entire movie,13.636364,0,0,1,25
good jobs for those with education,10.235294,2,0,0,27
jumping right out of the water,11.111111,0,1,1,24
the trains are always late,10.56,1,2,1,19
sit at the front of the bus,7.411765,1,2,1,18
do you prefer a window seat,9.428571,2,0,0,20
the food at this restaurant,13.142857,1,1,1,21
Canada has ten provinces,10.956522,0,1,1,20
the elevator door appears to be stuck,15.5,3,1,1,27
raindrops keep falling on my head,14.608696,2,2,0,24
spill coffee on the carpet,8.8,1,2,1,19
an excellent way to communicate,11.172414,2,1,1,24
with each step forward,8.444444,0,0,0,19
faster than a speeding bullet,9.090909,0,0,1,25
wishful thinking is fine,9.333333,0,2,1,19
nothing wrong with his style,13.090909,2,1,1,21
arguing with the boss is futile,10.4,2,1,0,23
taking the train is usually faster,15.818182,1,1,0,27
what goes up must come down,11.0,0,1,0,21
be persistent to win a strike,9.931034,0,2,1,22
presidents drive expensive cars,10.181818,2,1,0,25
the stock exchange dipped,8.0,2,0,1,20
why do you ask silly questions,9.375,0,2,0,23
that is a very nasty cut,8.769231,1,0,0,18
what to do when the oil runs dry,9.677419,1,0,0,24
learn to walk before you run,12.0,2,0,1,21
insurance is important for bad drivers,12.375,3,3,0,27
traveling to conferences is fun,9.529412,0,1,1,26
do you get nervous when you speak,10.125,1,0,0,26
pumping helps if the roads are slippery,13.2,2,2,0,29
parking tickets can be challenged,11.225806,2,2,1,25
apartments are too expensive,10.714286,1,1,0,23
find a nearby parking spot,8.8,0,1,0,21
gun powder must be handled with care,12.0,0,3,0,27
just what the doctor ordered,11.52,1,2,1,21
a rattle snake is very poisonous,15.428571,0,1,1,26
weeping willows are found near water,17.714286,0,3,0,28
I cannot believe I ate the whole thing,11.625,3,2,0,26
the biggest hamburger I have ever seen,12.387097,0,1,0,31
gamblers eventually loose their shirts,15.111111,1,0,0,33
exercise is good for the mind,9.931034,2,2,0,20
irregular verbs are the hardest to learn,12.75,3,2,1,29
they might find your comment offensive,12.0,0,1,0,32
tell a lie and your nose will grow,15.428571,0,0,1,27
an enlarged nose suggests you are a liar,12.0,3,3,1,27
lie detector tests never work,9.090909,2,0,0,23
do not lie in court or else,10.08,0,2,1,19
most judges are very honest,9.517241,0,1,0,22
only an idiot would lie in court,11.142857,0,2,0,24
important news always seems to be late,18.285714,1,0,0,31
please try to be home before midnight,11.625,2,3,0,26
if you come home late the doors are locked,15.692308,0,0,1,34
dormitory doors are locked at midnight,14.142857,3,1,1,29
staying up all night is a bad idea,10.8,0,1,0,26
you are a capitalist pig,7.272727,0,2,1,18
motivational seminars make me sick,14.4,3,2,1,25
questioning the wisdom of the courts,12.4,0,3,1,28
rejection letters are discouraging,16.909091,2,0,1,29
the first time he tried to swim,10.714286,0,2,1,23
that referendum asked a silly question,15.84,0,2,1,31
a steep learning curve in riding a unicycle,14.896552,2,0,0,34
a good stimulus deserves a good response,19.428571,0,3,1,31
everybody looses in custody battles,10.941176,3,2,0,26
put garbage in an abandoned mine,11.571429,2,1,1,24
employee recruitment takes a lot of effort,16.0,1,2,0,33
experience is hard to come by,8.470588,1,0,0,23
everyone wants to win the lottery,12.444444,2,2,0,24
the picket line gives me the chills,15.818182,2,1,1,26
