Phrase,Time,INF,IF,F,C
popularity is desired by all,14.4,1,0,0,23
the music is better than it sounds,14.608696,2,1,0,25
starlight and dewdrop,12.0,0,1,0,18
the living is easy,7.2,0,1,0,14
fish are jumping,7.636364,0,1,0,13
the cotton is high,7.826087,0,0,0,15
drove my chevy to the levee,12.571429,0,2,0,20
but the levee was dry,9.714286,0,0,0,17
I took the rover from the shop,11.52,0,2,1,22
movie about a nutty professor,14.285714,0,1,0,24
come and see our new car,12.0,1,1,0,17
coming up with killer sound bites,13.44,2,0,0,26
I am going to a music lesson,13.894737,0,1,1,21
the opposing team is over there,13.0,1,0,0,25
soon we will return from the city,17.052632,1,2,0,24
I am wearing a tie and a jacket,13.090909,0,2,0,22
the quick brown fox jumped,13.894737,0,2,1,20
all together in one big pile,11.5,0,2,0,21
wear a crown with many jewels,13.714286,2,1,0,21
there will be some fog tonight,15.0,2,1,1,22
I am allergic to bees and peanuts,14.727273,1,2,0,24
he is still on our team,11.368421,1,0,0,17
the dow jones index has risen,16.941176,1,2,0,21
my preferred treat is chocolate,13.5,1,0,1,26
the king sends you to the tower,13.043478,2,2,0,21
we are subjects and must obey,12.0,1,1,0,22
mom made her a turtleneck,10.08,2,2,0,17
goldilocks and the three bears,12.48,2,0,1,24
we went grocery shopping,10.5,0,0,0,21
the assignment is due today,12.545455,0,1,0,22
what you see is what you get,14.666667,2,2,1,18
for your information only,11.0,1,2,0,19
a quarter of a century,12.0,0,0,0,18
the store will close at ten,12.571429,1,1,0,20
head shoulders knees and toes,13.043478,2,1,1,22
vanilla flavored ice cream,11.04,1,1,0,21
frequently asked questions,12.0,1,0,1,23
round robin scheduling,10.909091,2,0,0,18
information super highway,16.235294,1,2,1,20
my favorite web browser,10.434783,1,2,1,17
the laser printer is jammed,13.142857,0,0,0,23
all good boys deserve fudge,11.5,0,2,1,21
the second largest country,13.142857,2,2,0,19
call for more details,12.0,1,0,0,17
just in time for the party,11.454545,2,2,1,17
have a good weekend,9.6,0,0,0,16
video camera with a zoom lens,13.090909,0,1,0,23
what a monkey sees a monkey will do,16.8,2,0,0,26
that is very unfortunate,11.454545,1,1,0,19
the back yard of our house,12.6,0,2,1,19
this is a very good idea,9.913043,1,0,0,18
reading week is just about here,14.181818,1,1,0,24
our fax number has changed,11.478261,1,2,1,19
thank you for your help,10.363636,1,0,0,18
no exchange without a bill,15.529412,0,0,1,22
the early bird gets the worm,11.04,0,2,1,21
buckle up for safety,11.333333,0,1,0,16
this is too much to handle,10.956522,2,0,0,19
protect your environment,14.666667,2,2,1,18
world population is growing,16.0,0,2,1,22
the library is closed today,13.8,2,2,0,19
Mary had a little lamb,9.818182,1,1,0,16
teaching services will help,13.714286,2,2,1,20
we accept personal checks,10.56,1,2,0,19
this is a non profit organization,14.608696,2,2,1,24
user friendly interface,10.956522,0,2,1,19
healthy food is good for you,16.235294,2,0,0,21
hands on experience with a job,12.0,1,1,0,23
this watch is too expensive,13.142857,0,0,0,23
the postal service is very slow,18.352941,0,1,0,25
communicate through email,11.5,0,2,1,21
the capital of our nation,13.263158,2,0,1,19
travel at the speed of light,13.8,0,2,0,21
I do not fully agree with you,15.333333,0,1,0,22
gas bills are sent monthly,11.0,0,0,0,22
earth quakes are predictable,13.043478,1,1,1,23
life is but a dream,9.0,0,1,0,14
take it to the recycling depot,15.789474,2,0,1,23
sent this by registered mail,16.0,0,1,0,23
fall is my favorite season,14.666667,2,0,1,20
a fox is a very smart animal,12.571429,1,1,1,20
the kids are very excited,11.454545,2,0,0,19
parking lot is full of trucks,16.0,0,0,1,24
my bike has a flat tire,12.705882,1,0,0,17
do not walk too quickly,12.666667,0,1,0,18
a duck quacks to ask for food,13.8,2,1,0,20
limited warranty of two years,12.0,1,1,0,23
the four seasons will come,10.56,1,2,1,19
the sun rises in the east,10.0,1,0,1,19
it is very windy today,9.0,1,1,0,16
do not worry about this,9.5,1,0,0,18
dashing through the snow,12.0,2,2,0,17
want to join us for lunch,9.6,1,0,0,19
stay away from strangers,12.0,0,0,0,21
accompanied by an adult,9.6,0,1,0,19
see you later alligator,10.0,1,1,1,18
make my day you sucker,11.368421,0,1,0,17
I can play much better now,10.956522,2,1,1,18
she wears too much makeup,12.0,1,0,1,20
my bare face in the wind,9.5,1,0,0,18
batman wears a cape,11.294118,0,0,0,16
I hate baking pies,10.0,1,0,0,14
lydia wants to go home,9.818182,0,0,0,18
win first prize in the contest,15.0,0,2,0,23
freud wrote of the ego,11.368421,1,1,0,16
I do not care if you do that,12.6,2,1,1,18
always cover all the bases,15.529412,1,1,1,20
nobody cares anymore,8.64,0,1,0,17
can we play cards tonight,11.454545,0,2,0,19
get rid of that immediately,12.0,2,0,1,21
I watched blazing saddles,14.666667,1,2,0,19
the sum of the parts,8.727273,1,0,0,15
they love to yap about nothing,14.285714,0,2,1,23
peek out the window,11.294118,0,0,0,16
be home before midnight,10.0,1,1,0,18
he played a pimp in that movie,11.52,2,2,1,20
I skimmed through your proposal,13.5,0,0,0,27
he was wearing a sweatshirt,15.333333,2,2,1,19
no more war no more bloodshed,15.157895,2,2,1,20
toss the ball around,9.714286,1,0,0,16
I will meet you at noon,9.818182,0,0,0,18
I want to hold your hand,12.0,0,0,0,19
the children are playing,10.956522,0,0,1,21
superman never wore a mask,13.894737,1,1,1,20
I listen to the tape everyday,15.157895,2,2,0,20
he is shouting loudly,8.64,0,1,0,17
correct your diction immediately,15.818182,1,0,0,28
seasoned golfers love the game,17.333333,1,1,1,24
he cooled off after she left,13.8,1,1,0,21
my dog sheds his hair,11.333333,0,0,0,17
join us on the patio,10.666667,1,1,0,14
these cookies are so amazing,15.157895,2,1,1,21
I can still feel your presence,12.0,2,2,1,21
the dog will bite you,12.0,0,0,0,17
a most ridiculous thing,9.6,0,2,0,18
where did you get that tie,13.263158,0,0,0,21
what a lovely red jacket,10.434783,0,1,1,19
do you like to shop on Sunday,11.5,2,1,1,20
I spilled coffee on the carpet,17.647059,2,2,0,21
the largest of the five oceans,15.0,1,2,1,22
shall we play a round of cards,13.090909,1,2,1,21
olympic athletes use drugs,12.545455,0,1,0,22
my mother makes good cookies,16.0,0,1,0,23
do a good deed to someone,13.333333,2,0,0,18
quick there is someone knocking,15.428571,1,0,0,26
flashing red light means stop,15.0,1,0,0,24
sprawling subdivisions are bad,17.052632,2,0,1,25
where did I leave my glasses,15.333333,2,0,0,21
on the way to the cottage,12.0,0,0,1,20
a lot of chlorine in the water,14.4,2,2,1,20
do not drink the water,12.705882,1,0,0,17
my car always breaks in the winter,15.272727,1,1,1,26
santa claus got stuck,9.818182,0,1,0,17
public transit is much faster,13.043478,0,2,0,23
zero in on the facts,11.294118,1,0,0,15
make up a few more phrases,10.08,0,2,1,19
my fingers are very cold,9.6,2,0,0,18
rain rain go away,7.636364,0,1,0,13
bad for the environment,12.0,2,2,1,16
universities are too expensive,14.086957,1,0,0,26
the price of gas is high,9.5,0,1,0,18
the winner of the race,12.0,1,0,0,17
we drive on parkways,10.736842,1,1,0,15
we park in driveways,12.0,1,0,0,16
go out for some pizza and beer,16.941176,2,2,1,20
effort is what it will take,12.571429,0,1,1,21
where can my little dog be,14.823529,1,0,0,20
if you were not so stupid,9.6,2,1,1,17
not quite so smart as you think,12.5,2,1,0,22
do you like to go camping,11.428571,0,0,0,20
this person is a disaster,11.454545,0,0,1,21
the imagination of the nation,16.666667,2,2,0,21
universally understood to be wrong,21.176471,2,1,0,27
listen to five hours of opera,16.0,2,0,1,22
an occasional taste of chocolate,19.764706,1,0,1,27
victims deserve more redress,15.789474,1,2,1,22
the protesters blocked all traffic,18.947368,2,0,1,28
the acceptance speech was boring,18.666667,1,0,0,27
work hard to reach the summit,14.4,0,1,1,23
a little encouragement is needed,16.8,0,2,0,26
stiff penalty for staying out late,15.130435,1,1,1,27
the pen is mightier than the sword,15.272727,2,2,1,24
exceed the maximum speed limit,13.0,0,1,0,25
in sharp contrast to your words,18.352941,0,0,1,26
this leather jacket is too warm,16.421053,1,1,1,24
consequences of a wrong turn,12.521739,2,1,0,21
this mission statement is baloney,14.5,2,2,1,25
you will loose your voice,10.5,0,1,1,20
every apple from every tree,12.0,2,2,1,19
are you sure you want this,12.6,0,1,1,20
the fourth edition was better,15.0,2,0,1,23
this system of taxation,10.434783,1,1,1,18
beautiful paintings in the gallery,17.142857,2,0,1,28
a yard is almost as long as a meter,14.727273,2,0,1,25
we missed your birthday,12.631579,2,1,0,17
coalition governments never work,16.571429,1,0,1,28
destruction of the rain forest,13.0,0,0,1,26
I like to play tennis,11.333333,1,1,0,15
acutely aware of her good looks,13.565217,0,2,0,24
you want to eat your cake,9.6,0,2,0,18
machinery is too complicated,12.0,2,1,1,22
a glance in the right direction,18.352941,0,1,0,25
I just cannot figure this out,13.090909,0,0,1,24
please follow the guidelines,17.647059,0,0,0,25
an airport is a very busy place,13.636364,1,2,1,22
mystery of the lost lagoon,12.0,2,2,0,18
is there any indication of this,18.352941,0,1,0,25
the chamber makes important decisions,18.857143,3,1,1,29
this phenomenon will never occur,14.0,0,0,1,28
obligations must be met first,15.0,1,2,1,22
valid until the end of the year,15.789474,2,0,1,23
file all complaints in writing,15.6,1,0,1,25
tickets are very expensive,11.5,2,2,1,19
a picture is worth many words,11.52,1,2,0,21
this camera takes nice photographs,14.4,1,2,0,27
it looks like a shack,8.16,1,1,0,15
the dog buried the bone,12.0,0,1,0,18
the daring young man,9.714286,0,1,0,16
this equation is too complicated,14.0,0,2,1,26
express delivery is very fast,14.285714,0,1,1,24
I will put on my glasses,12.666667,1,1,0,17
a touchdown in the last minute,13.636364,1,2,0,22
the treasury department is broke,17.684211,0,2,0,26
a good response to the question,13.565217,0,0,0,26
well connected with people,15.333333,1,0,0,22
the bathroom is good for reading,16.2,2,1,0,24
the generation gap gets wider,17.647059,1,0,1,24
chemical spill took forever,16.941176,2,0,1,22
prepare for the exam in advance,15.6,0,0,1,26
interesting observation was made,18.315789,2,2,0,25
bank transaction was not registered,17.714286,0,1,1,30
your etiquette needs some work,16.421053,2,0,0,24
we better investigate this,14.526316,0,1,1,22
stability of the nation,10.0,0,0,0,20
house with new electrical panel,17.052632,1,1,1,25
our silver anniversary is coming,15.272727,1,0,0,27
the presidential suite is very busy,20.0,3,1,1,26
the punishment should fit the crime,18.947368,2,0,0,28
sharp cheese keeps the mind sharp,19.764706,2,1,0,25
the registration period is over,18.0,1,1,0,25
you have my sympathy,10.2,1,0,0,16
the objective of the exercise,12.5,1,2,0,22
historic meeting without a result,14.5,1,1,0,27
very reluctant to enter,12.0,0,1,1,19
good at addition and subtraction,15.272727,0,0,1,28
six daughters and seven sons,13.714286,2,1,0,21
a thoroughly disgusting thing to say,21.882353,0,2,0,29
sign the withdrawal slip,13.263158,2,0,0,19
relations are very strained,11.52,2,2,0,20
the minimum amount of time,10.56,0,0,0,22
a very traditional way to dress,16.421053,1,2,0,23
the aspirations of a nation,11.04,0,2,1,21
medieval times were very hard,14.285714,1,0,0,24
a security force of eight thousand,20.470588,0,2,0,27
there are winners and losers,12.521739,2,1,1,21
the voters turfed him out,10.5,1,2,1,18
pay off a mortgage for a house,15.157895,1,0,1,23
the collapse of the Roman empire,12.96,1,2,1,24
did you see that spectacular explosion,15.84,0,2,0,31
keep receipts for all your expenses,15.0,1,1,1,28
the assault took six months,11.04,0,2,1,21
get your priorities in order,15.157895,0,2,1,22
traveling requires a lot of fuel,17.052632,2,2,1,23
longer than a football field,12.0,0,0,0,24
a good joke deserves a good laugh,16.2,0,0,0,27
the union will go on strike,10.56,1,1,1,20
never mix religion and politics,13.5,2,0,0,25
interactions between men and women,18.947368,0,1,0,29
where did you get such a silly idea,19.764706,1,2,1,25
it should be sunny tomorrow,12.545455,0,2,1,21
a psychiatrist will help you,13.714286,2,1,1,21
you should visit to a doctor,13.8,2,0,1,21
you must make an appointment,12.521739,1,0,0,23
the fax machine is broken,14.0,2,2,0,17
players must know all the rules,18.352941,0,0,0,26
a dog is the best friend of a man,15.789474,1,2,0,22
would you like to come to my house,18.0,0,0,1,27
February has an extra day,14.823529,1,1,0,19
do not feel too bad about it,13.894737,1,2,0,19
this library has many books,15.333333,0,2,0,21
construction makes traveling difficult,20.0,3,3,0,29
he called seven times,12.705882,0,0,0,18
that is a very odd question,12.571429,2,1,0,19
a feeling of complete exasperation,17.142857,2,3,0,25
we must redouble our efforts,13.090909,1,2,1,21
no kissing in the library,14.0,1,2,1,18
that agreement is rife with problems,20.666667,1,2,0,28
vote according to your conscience,15.818182,0,2,1,27
my favourite sport is racketball,16.8,2,2,1,24
sad to hear that news,8.16,0,1,0,16
the gun discharged by accident,18.352941,2,2,0,22
one of the poorest nations,12.571429,0,1,1,21
the algorithm is too complicated,16.8,2,0,1,26
your presentation was inspiring,14.608696,0,1,1,27
that land is owned by the government,15.0,1,2,0,27
burglars never leave their business card,23.333333,3,2,1,30
the fire blazed all weekend,11.5,1,0,1,22
if diplomacy does not work,14.666667,2,2,0,18
please keep this confidential,17.333333,1,0,0,25
the rationale behind the decision,16.571429,1,0,1,28
the cat has a pleasant temperament,17.4,2,0,0,27
our housekeeper does a thorough job,15.0,1,3,1,26
her majesty visited our country,13.5,0,0,1,27
handicapped persons need consideration,20.0,3,3,0,29
these barracks are big enough,13.636364,2,1,0,22
sing the gospel and the blues,13.714286,0,2,0,22
he underwent triple bypass surgery,15.652174,1,3,0,26
the hopes of a new organization,18.352941,0,2,0,24
peering through a small hole,16.941176,0,0,0,24
rapidly running short on words,12.48,0,1,1,25
it is difficult to concentrate,15.6,2,1,1,23
give me one spoonful of coffee,12.5,0,2,0,23
two or three cups of coffee,10.56,0,1,0,21
just like it says on the can,15.529412,2,0,0,20
companies announce a merger,16.0,2,1,1,21
electric cars need big fuel cells,16.8,2,2,0,24
the plug does not fit the socket,18.352941,1,2,0,23
drugs should be avoided,9.6,0,2,0,18
the most beautiful sunset,11.478261,0,1,1,21
we dine out on the weekends,14.666667,0,2,1,20
get aboard the ship is leaving,17.647059,1,1,1,23
the water was monitored daily,12.5,1,0,0,24
he watched in astonishment,11.04,0,2,1,21
a big scratch on the tabletop,16.0,2,1,1,21
salesmen must make their monthly quota,23.294118,2,0,1,31
saving that child was an heroic effort,22.588235,1,1,0,30
granite is the hardest of all rocks,15.130435,1,1,1,27
bring the offenders to justice,18.352941,2,2,0,22
every Saturday he folds the laundry,21.176471,0,1,0,29
careless driving results in a fine,15.818182,2,2,0,25
microscopes make small things look big,18.0,2,2,0,29
a coupon for a free sample,12.6,2,0,0,19
fine but only in moderation,12.0,2,0,0,21
a subject one can really enjoy,14.285714,1,0,1,24
important for political parties,16.0,0,1,0,27
that sticker needs to be validated,20.470588,2,2,0,25
the fire raged for an entire month,13.44,1,1,0,26
one never takes too many precautions,19.578947,2,3,1,26
we have enough witnesses,13.263158,0,0,1,21
labour unions know how to organize,19.333333,2,1,0,26
people blow their horn a lot,11.5,1,1,1,21
a correction had to be published,12.96,1,1,1,25
I like baroque and classical music,15.130435,1,0,0,28
the proprietor was unavailable,15.428571,0,1,1,26
be discreet about your meeting,14.857143,0,1,1,25
meet tomorrow in the lavatory,16.666667,0,2,0,23
suburbs are sprawling up everywhere,20.666667,2,3,0,26
shivering is one way to keep warm,19.058824,2,0,1,25
dolphins leap high out of the water,18.315789,0,0,0,29
try to enjoy your maternity leave,16.8,2,2,1,24
the ventilation system is broken,16.8,1,2,1,25
dinosaurs have been extinct for ages,18.6,3,2,1,26
an inefficient way to heat a house,14.0,1,0,1,27
the bus was very crowded,10.434783,1,2,1,17
an injustice is committed every day,20.0,2,2,1,26
the coronation was very exciting,19.764706,0,0,1,28
look in the syllabus for the course,15.130435,1,0,1,28
rectangular objects have four sides,18.6,3,0,0,28
prescription drugs require a note,15.818182,1,2,0,26
the insulation is not working,15.789474,0,0,0,25
nothing finer than discovering a treasure,24.0,2,0,1,34
our life expectancy has increased,18.315789,1,0,1,28
the cream rises to the top,14.823529,2,2,1,17
the high waves will swamp us,14.526316,1,1,1,21
the treasurer must balance her books,16.909091,1,2,1,28
completely sold out of that,16.235294,2,2,0,19
the location of the crime,13.263158,1,2,0,18
the chancellor was very boring,13.565217,1,2,0,23
the accident scene is a shrine for fans,20.210526,3,2,0,27
a tumor is OK provided it is benign,17.684211,2,2,1,24
please take a bath this month,13.090909,0,0,1,24
rent is paid at the beginning of the month,17.0,2,3,1,29
for murder you get a long prison sentence,24.0,2,0,1,32
a much higher risk of getting cancer,16.363636,3,2,0,25
quit while you are ahead,10.909091,0,0,1,20
knee bone is connected to the thigh bone,18.857143,0,3,0,30
safe to walk the streets in the evening,22.588235,0,1,0,31
luckily my wallet was found,13.8,0,2,0,21
one hour is allotted for questions,19.333333,0,0,0,29
so you think you deserve a raise,17.333333,2,0,1,24
they watched the entire movie,15.789474,2,1,1,22
good jobs for those with education,20.470588,2,0,1,27
jumping right out of the water,12.0,2,1,0,22
the trains are always late,14.666667,2,0,0,20
sit at the front of the bus,10.956522,2,2,1,17
do you prefer a window seat,11.0,2,0,0,20
the food at this restaurant,16.235294,1,0,0,22
Canada has ten provinces,12.6,2,1,0,18
the elevator door appears to be stuck,18.6,3,3,1,25
raindrops keep falling on my head,19.764706,2,1,0,25
spill coffee on the carpet,11.478261,1,2,0,19
an excellent way to communicate,15.428571,1,1,1,25
with each step forward,10.363636,0,0,0,19
faster than a speeding bullet,15.0,1,0,0,24
wishful thinking is fine,14.0,0,2,0,19
nothing wrong with his style,13.090909,0,2,0,22
arguing with the boss is futile,13.565217,0,1,1,25
taking the train is usually faster,13.92,1,1,1,27
what goes up must come down,15.529412,0,0,1,22
be persistent to win a strike,16.0,2,1,1,21
presidents drive expensive cars,18.666667,0,2,1,26
the stock exchange dipped,14.666667,1,0,1,21
why do you ask silly questions,15.789474,2,2,0,21
that is a very nasty cut,9.12,1,1,0,17
what to do when the oil runs dry,14.285714,0,1,0,24
learn to walk before you run,13.8,1,0,0,22
insurance is important for bad drivers,15.84,0,2,0,31
traveling to conferences is fun,17.052632,1,0,1,26
do you get nervous when you speak,17.052632,1,1,0,25
pumping helps if the roads are slippery,15.84,2,2,1,29
parking tickets can be challenged,13.92,2,0,0,27
apartments are too expensive,12.5,0,1,0,24
find a nearby parking spot,11.478261,0,0,0,22
gun powder must be handled with care,15.0,3,0,1,27
just what the doctor ordered,15.157895,1,1,1,22
a rattle snake is very poisonous,17.052632,2,0,0,25
weeping willows are found near water,16.173913,1,0,1,30
I cannot believe I ate the whole thing,21.882353,3,1,1,27
the biggest hamburger I have ever seen,21.333333,1,1,0,30
gamblers eventually loose their shirts,17.73913,0,1,0,33
exercise is good for the mind,12.0,1,1,1,22
irregular verbs are the hardest to learn,17.0,2,1,1,31
they might find your comment offensive,23.294118,2,0,1,31
tell a lie and your nose will grow,14.086957,1,2,1,24
an enlarged nose suggests you are a liar,16.5,0,1,1,32
lie detector tests never work,13.636364,1,0,0,24
do not lie in court or else,10.5,0,2,1,19
most judges are very honest,14.526316,2,2,1,19
only an idiot would lie in court,18.352941,2,0,0,24
important news always seems to be late,16.695652,0,2,1,30
please try to be home before midnight,21.882353,2,2,0,27
if you come home late the doors are locked,17.0,2,0,0,32
dormitory doors are locked at midnight,16.5,0,2,1,31
staying up all night is a bad idea,12.96,0,1,0,26
you are a capitalist pig,13.333333,2,1,0,17
motivational seminars make me sick,21.176471,2,0,0,28
questioning the wisdom of the courts,16.173913,0,2,1,29
rejection letters are discouraging,16.909091,0,0,1,31
the first time he tried to swim,15.789474,1,0,1,24
that referendum asked a silly question,17.217391,1,0,0,32
a steep learning curve in riding a unicycle,20.571429,2,2,1,32
a good stimulus deserves a good response,16.32,3,1,1,30
everybody looses in custody battles,18.6,3,2,1,26
put garbage in an abandoned mine,15.428571,2,0,1,25
employee recruitment takes a lot of effort,20.571429,2,3,0,31
experience is hard to come by,12.0,2,1,0,21
everyone wants to win the lottery,15.272727,0,1,1,27
the picket line gives me the chills,13.92,1,2,0,26
