Phrase,Time,INF,IF,F,C
teaching services will help,10.285714,1,1,0,22
we accept personal checks,11.0,0,1,0,21
this is a non profit organization,15.272727,0,1,0,27
user friendly interface,10.08,1,0,1,20
healthy food is good for you,10.222222,1,0,1,22
hands on experience with a job,12.5,1,0,1,24
this watch is too expensive,9.857143,0,0,0,23
the postal service is very slow,12.48,1,0,0,25
communicate through email,12.0,0,1,1,22
the capital of our nation,9.333333,0,1,0,20
travel at the speed of light,13.142857,0,1,1,22
I do not fully agree with you,10.615385,1,0,1,22
gas bills are sent monthly,10.153846,0,1,0,21
earth quakes are predictable,14.285714,0,1,1,24
life is but a dream,8.571429,0,0,0,15
take it to the recycling depot,14.285714,1,0,1,24
sent this by registered mail,14.4,0,0,0,24
fall is my favorite season,11.0,0,0,0,22
a fox is a very smart animal,10.56,0,0,1,22
the kids are very excited,10.08,1,1,1,19
parking lot is full of trucks,13.714286,0,0,0,24
my bike has a flat tire,9.391304,0,0,0,18
do not walk too quickly,11.4,0,0,0,19
a duck quacks to ask for food,10.615385,1,1,1,21
limited warranty of two years,10.344828,0,0,1,25
the four seasons will come,13.2,0,1,1,21
the sun rises in the east,8.275862,1,1,0,18
it is very windy today,9.391304,0,0,0,18
do not worry about this,8.444444,0,0,0,19
dashing through the snow,11.454545,1,1,1,19
want to join us for lunch,9.230769,0,1,0,19
stay away from strangers,12.6,0,1,0,20
accompanied by an adult,8.888889,0,0,1,20
see you later alligator,8.0,0,0,1,20
make my day you sucker,9.0,0,0,0,18
I can play much better now,10.08,0,1,0,20
she wears too much makeup,10.5,1,0,1,20
my bare face in the wind,9.12,0,0,0,19
batman wears a cape,7.111111,0,0,0,16
I hate baking pies,8.571429,0,0,0,15
lydia wants to go home,10.285714,0,0,0,18
win first prize in the contest,14.285714,0,1,0,24
freud wrote of the ego,8.64,0,0,0,18
I do not care if you do that,10.956522,0,0,0,21
always cover all the bases,10.153846,1,0,0,21
nobody cares anymore,10.8,0,0,0,18
can we play cards tonight,10.5,0,0,0,21
get rid of that immediately,13.8,0,1,1,22
I watched blazing saddles,9.777778,1,1,1,20
the sum of the parts,9.6,0,0,0,16
they love to yap about nothing,10.344828,0,1,0,24
peek out the window,7.384615,0,0,0,16
be home before midnight,9.6,1,1,1,18
he played a pimp in that movie,10.285714,1,0,0,23
I skimmed through your proposal,11.172414,0,0,0,27
he was wearing a sweatshirt,9.2,0,0,1,23
no more war no more bloodshed,10.285714,0,1,1,23
toss the ball around,7.285714,0,0,0,17
I will meet you at noon,10.285714,0,0,0,18
I want to hold your hand,8.444444,0,0,0,19
the children are playing,9.0,0,1,0,20
superman never wore a mask,11.0,0,0,1,22
I listen to the tape everyday,12.0,0,1,0,23
he is shouting loudly,10.8,0,0,0,18
correct your diction immediately,12.888889,1,0,1,28
seasoned golfers love the game,12.0,1,0,0,25
he cooled off after she left,12.0,1,0,1,22
my dog sheds his hair,7.034483,0,0,0,17
join us on the patio,8.347826,0,0,0,16
these cookies are so amazing,13.090909,0,1,0,23
I can still feel your presence,13.043478,0,0,0,25
the dog will bite you,9.272727,0,0,0,17
a most ridiculous thing,8.0,0,0,0,20
where did you get that tie,12.6,0,0,0,21
what a lovely red jacket,8.571429,0,1,1,19
do you like to shop on Sunday,12.0,0,0,0,23
I spilled coffee on the carpet,14.285714,0,0,0,25
the largest of the five oceans,15.0,1,1,1,23
shall we play a round of cards,10.666667,1,0,1,23
olympic athletes use drugs,13.142857,0,0,0,23
my mother makes good cookies,10.666667,0,1,1,23
do a good deed to someone,10.909091,1,1,1,18
quick there is someone knocking,15.428571,0,1,1,26
flashing red light means stop,15.0,1,0,1,24
sprawling subdivisions are bad,15.428571,0,0,0,27
where did I leave my glasses,13.142857,0,1,1,22
on the way to the cottage,10.909091,0,0,0,20
a lot of chlorine in the water,14.4,0,0,1,24
do not drink the water,9.818182,0,0,0,18
my car always breaks in the winter,12.444444,1,1,1,26
santa claus got stuck,9.391304,0,0,0,18
public transit is much faster,10.714286,1,1,0,23
zero in on the facts,6.4,0,0,0,16
make up a few more phrases,12.6,1,1,0,19
my fingers are very cold,8.275862,0,0,0,20
rain rain go away,8.4,0,0,0,14
bad for the environment,12.0,1,1,1,18
universities are too expensive,15.428571,1,1,0,25
the price of gas is high,8.444444,0,0,0,19
the winner of the race,10.285714,0,0,0,18
we drive on parkways,8.16,0,0,0,17
we park in driveways,8.16,0,0,0,17
go out for some pizza and beer,12.521739,0,0,1,24
effort is what it will take,10.56,1,1,1,20
where can my little dog be,8.689655,1,1,1,19
if you were not so stupid,11.428571,0,1,0,19
not quite so smart as you think,11.111111,0,1,0,24
do you like to go camping,8.0,1,0,1,19
this person is a disaster,8.4,1,1,0,19
the imagination of the nation,12.5,1,0,1,24
universally understood to be wrong,14.4,1,0,0,29
listen to five hours of opera,12.0,0,1,0,23
an occasional taste of chocolate,16.0,1,0,0,27
victims deserve more redress,12.5,0,0,1,25
the protesters blocked all traffic,18.0,1,1,1,28
the acceptance speech was boring,13.44,1,0,0,27
work hard to reach the summit,13.714286,1,0,1,23
a little encouragement is needed,16.0,1,1,0,26
stiff penalty for staying out late,13.384615,1,0,0,28
the pen is mightier than the sword,12.0,1,0,1,27
exceed the maximum speed limit,14.857143,0,1,0,25
in sharp contrast to your words,12.48,1,0,1,25
this leather jacket is too warm,15.6,0,1,1,25
consequences of a wrong turn,14.4,1,0,1,23
this mission statement is baloney,14.5,1,0,1,28
you will loose your voice,8.4,1,1,0,19
every apple from every tree,9.517241,0,1,1,22
are you sure you want this,9.333333,1,1,0,19
the fourth edition was better,12.0,0,1,1,24
this system of taxation,11.428571,0,1,1,19
beautiful paintings in the gallery,18.0,0,0,0,30
a yard is almost as long as a meter,15.428571,0,1,0,26
we missed your birthday,11.428571,1,0,0,19
coalition governments never work,15.818182,1,0,1,28
destruction of the rain forest,10.4,1,0,1,25
I like to play tennis,7.846154,0,0,0,17
acutely aware of her good looks,11.142857,0,1,1,25
you want to eat your cake,8.0,0,0,0,20
machinery is too complicated,11.538462,1,1,1,23
a glance in the right direction,14.857143,0,0,0,26
I just cannot figure this out,13.090909,1,0,1,23
please follow the guidelines,11.538462,0,0,1,25
an airport is a very busy place,10.344828,0,0,1,25
mystery of the lost lagoon,12.571429,0,1,1,21
is there any indication of this,14.181818,0,1,0,25
the chamber makes important decisions,13.2,0,0,1,33
this phenomenon will never occur,11.2,1,1,1,26
obligations must be met first,10.0,0,0,1,25
valid until the end of the year,12.0,1,0,1,24
file all complaints in writing,12.48,0,0,1,26
tickets are very expensive,10.615385,0,1,1,22
a picture is worth many words,13.714286,0,1,1,23
this camera takes nice photographs,18.0,0,0,1,30
it looks like a shack,8.869565,0,0,0,17
the dog buried the bone,10.363636,0,0,0,19
the daring young man,8.16,0,0,0,17
this equation is too complicated,11.2,1,0,0,27
express delivery is very fast,13.636364,0,0,0,25
I will put on my glasses,10.363636,0,0,0,19
a touchdown in the last minute,13.043478,1,0,0,24
the treasury department is broke,16.0,1,1,0,26
a good response to the question,10.4,1,0,1,25
well connected with people,9.2,1,0,1,22
the bathroom is good for reading,14.086957,0,1,0,26
the generation gap gets wider,11.538462,0,0,1,25
chemical spill took forever,11.076923,1,0,0,23
prepare for the exam in advance,12.48,1,1,0,24
interesting observation was made,13.92,0,0,0,29
bank transaction was not registered,12.827586,0,1,1,30
your etiquette needs some work,12.0,1,1,0,24
we better investigate this,9.517241,1,0,0,22
stability of the nation,10.909091,0,0,1,20
house with new electrical panel,14.086957,0,0,1,27
our silver anniversary is coming,12.444444,0,1,1,27
the presidential suite is very busy,12.0,0,1,1,29
the punishment should fit the crime,12.413793,1,1,1,28
sharp cheese keeps the mind sharp,11.586207,1,0,1,27
the registration period is over,11.172414,0,1,0,26
you have my sympathy,9.714286,0,0,0,17
the objective of the exercise,14.285714,1,0,0,24
historic meeting without a result,13.384615,0,0,1,29
very reluctant to enter,8.275862,1,1,1,18
good at addition and subtraction,13.44,1,0,0,27
six daughters and seven sons,13.090909,1,1,0,22
a thoroughly disgusting thing to say,12.827586,1,1,1,29
sign the withdrawal slip,11.454545,1,1,0,19
relations are very strained,14.4,0,1,1,23
the minimum amount of time,13.2,1,0,0,21
a very traditional way to dress,11.555556,0,1,1,25
the aspirations of a nation,12.0,0,1,1,22
medieval times were very hard,15.0,0,1,0,24
a security force of eight thousand,15.818182,0,1,1,28
there are winners and losers,12.0,0,1,1,23
the voters turfed him out,9.692308,0,0,0,21
pay off a mortgage for a house,10.285714,1,0,1,23
the collapse of the Roman empire,15.428571,0,1,0,26
did you see that spectacular explosion,14.666667,0,1,0,32
keep receipts for all your expenses,17.142857,0,1,1,29
the assault took six months,11.5,0,1,1,22
get your priorities in order,11.076923,1,1,0,22
traveling requires a lot of fuel,14.727273,0,0,0,27
longer than a football field,9.6,0,0,1,24
a good joke deserves a good laugh,10.8,1,0,1,26
the union will go on strike,9.777778,1,1,0,20
never mix religion and politics,14.727273,0,1,1,26
interactions between men and women,12.413793,0,0,1,30
where did you get such a silly idea,16.0,1,0,0,27
it should be sunny tomorrow,9.517241,1,1,1,21
a psychiatrist will help you,9.931034,0,0,0,24
you should visit to a doctor,9.517241,0,1,0,22
you must make an appointment,10.666667,0,1,0,23
the fax machine is broken,8.689655,1,1,1,19
players must know all the rules,10.4,0,1,0,25
a dog is the best friend of a man,10.714286,0,0,1,25
would you like to come to my house,11.571429,1,1,0,25
February has an extra day,10.5,0,1,1,20
do not feel too bad about it,12.0,0,0,0,22
this library has many books,12.0,0,1,0,22
construction makes traveling difficult,20.0,1,1,0,33
he called seven times,7.714286,0,0,0,18
that is a very odd question,11.478261,0,1,0,21
a feeling of complete exasperation,15.652174,0,0,1,30
we must redouble our efforts,11.076923,0,1,0,23
no kissing in the library,9.692308,0,1,1,20
that agreement is rife with problems,12.4,0,0,0,31
vote according to your conscience,12.888889,0,1,0,28
my favourite sport is racketball,15.272727,1,0,0,27
sad to hear that news,7.555556,0,0,0,17
the gun discharged by accident,12.48,0,1,1,25
one of the poorest nations,11.0,0,1,1,21
the algorithm is too complicated,14.608696,1,1,0,26
your presentation was inspiring,13.44,0,0,1,28
that land is owned by the government,15.652174,1,1,1,28
burglars never leave their business card,17.5,1,1,0,33
the fire blazed all weekend,9.517241,1,0,1,22
if diplomacy does not work,9.428571,0,1,1,21
please keep this confidential,10.4,0,1,1,25
the rationale behind the decision,11.6,0,1,1,28
the cat has a pleasant temperament,15.818182,0,1,1,28
our housekeeper does a thorough job,17.142857,0,0,1,30
her majesty visited our country,15.428571,0,0,0,27
handicapped persons need consideration,16.153846,1,1,1,33
these barracks are big enough,12.5,1,0,0,24
sing the gospel and the blues,10.285714,1,1,1,22
he underwent triple bypass surgery,13.333333,1,1,1,28
the hopes of a new organization,11.555556,0,1,0,25
peering through a small hole,10.285714,1,1,0,22
rapidly running short on words,15.6,1,1,0,24
it is difficult to concentrate,13.565217,1,1,0,24
give me one spoonful of coffee,11.111111,1,1,1,23
two or three cups of coffee,12.0,1,1,0,20
just like it says on the can,8.8,1,1,1,20
companies announce a merger,13.714286,0,1,0,23
electric cars need big fuel cells,11.586207,1,0,1,27
the plug does not fit the socket,13.565217,1,0,1,25
drugs should be avoided,9.6,1,1,1,18
the most beautiful sunset,11.0,1,0,0,21
we dine out on the weekends,10.56,1,0,0,21
get aboard the ship is leaving,11.111111,1,1,0,23
the water was monitored daily,10.344828,0,0,1,25
he watched in astonishment,13.8,0,1,1,22
a big scratch on the tabletop,12.521739,1,1,0,22
salesmen must make their monthly quota,16.5,1,0,1,32
saving that child was an heroic effort,12.8,0,0,0,32
granite is the hardest of all rocks,12.888889,0,1,0,28
bring the offenders to justice,13.565217,1,0,1,25
every Saturday he folds the laundry,12.0,1,0,1,29
careless driving results in a fine,16.571429,0,0,1,29
microscopes make small things look big,17.217391,0,1,0,32
a coupon for a free sample,11.454545,0,0,1,21
fine but only in moderation,13.8,0,0,0,23
a subject one can really enjoy,13.636364,1,1,0,23
important for political parties,15.272727,1,1,1,26
that sticker needs to be validated,13.92,1,1,0,27
the fire raged for an entire month,14.0,1,0,0,27
one never takes too many precautions,15.5,1,0,1,30
we have enough witnesses,9.0,1,0,1,20
labour unions know how to organize,12.0,0,1,0,28
people blow their horn a lot,9.2,0,1,0,22
a correction had to be published,15.428571,0,1,1,26
I like baroque and classical music,11.6,1,0,0,28
the proprietor was unavailable,12.461538,1,0,1,26
be discreet about your meeting,12.48,0,0,1,26
meet tomorrow in the lavatory,12.5,0,1,0,24
suburbs are sprawling up everywhere,15.5,1,0,0,30
shivering is one way to keep warm,12.0,0,1,1,26
dolphins leap high out of the water,12.0,1,1,1,27
try to enjoy your maternity leave,15.272727,0,1,1,27
the ventilation system is broken,16.8,0,1,1,27
dinosaurs have been extinct for ages,15.5,1,1,0,29
an inefficient way to heat a house,12.444444,0,0,1,28
the bus was very crowded,9.230769,1,0,1,19
an injustice is committed every day,15.0,0,1,1,29
the coronation was very exciting,13.44,1,0,0,27
look in the syllabus for the course,17.4,0,1,1,28
rectangular objects have four sides,17.714286,1,0,1,30
prescription drugs require a note,14.5,0,0,0,29
the insulation is not working,14.285714,1,0,0,24
nothing finer than discovering a treasure,16.615385,0,0,1,36
our life expectancy has increased,12.888889,0,1,1,28
the cream rises to the top,9.692308,0,0,1,21
the high waves will swamp us,11.5,0,1,0,22
the treasurer must balance her books,14.307692,1,1,1,29
completely sold out of that,12.0,1,1,1,21
the location of the crime,12.6,0,0,0,21
the chancellor was very boring,12.48,0,0,0,26
the accident scene is a shrine for fans,18.285714,0,1,0,31
a tumor is OK provided it is benign,16.0,1,0,0,27
please take a bath this month,12.521739,1,1,0,22
rent is paid at the beginning of the month,20.4,1,0,1,33
for murder you get a long prison sentence,15.111111,1,1,1,32
a much higher risk of getting cancer,12.413793,0,1,0,29
quit while you are ahead,8.275862,1,1,1,18
knee bone is connected to the thigh bone,18.857143,0,0,0,33
safe to walk the streets in the evening,18.285714,0,1,0,31
luckily my wallet was found,11.5,0,1,1,22
one hour is allotted for questions,17.4,0,1,0,28
so you think you deserve a raise,13.565217,1,0,0,25
they watched the entire movie,11.111111,1,0,1,24
good jobs for those with education,17.4,1,1,0,27
jumping right out of the water,13.043478,0,0,0,25
the trains are always late,10.153846,1,0,0,21
sit at the front of the bus,12.6,0,0,1,21
do you prefer a window seat,9.103448,1,1,1,20
the food at this restaurant,10.222222,1,1,1,21
Canada has ten provinces,12.6,1,0,1,20
the elevator door appears to be stuck,13.285714,1,1,1,29
raindrops keep falling on my head,11.586207,1,0,1,27
spill coffee on the carpet,10.153846,1,0,0,21
an excellent way to communicate,12.0,0,1,1,26
with each step forward,7.862069,0,0,0,19
faster than a speeding bullet,12.5,0,0,0,25
wishful thinking is fine,8.4,0,0,1,21
nothing wrong with his style,11.52,0,0,1,24
arguing with the boss is futile,15.6,0,0,1,26
taking the train is usually faster,12.0,0,1,0,28
what goes up must come down,9.428571,0,0,0,22
be persistent to win a strike,14.4,1,1,0,22
presidents drive expensive cars,13.44,0,1,0,27
the stock exchange dipped,11.478261,0,1,0,21
why do you ask silly questions,10.0,0,1,0,24
that is a very nasty cut,10.363636,0,0,0,19
what to do when the oil runs dry,15.0,1,0,1,24
learn to walk before you run,9.857143,1,1,1,21
insurance is important for bad drivers,16.5,1,1,0,31
traveling to conferences is fun,12.96,1,1,0,25
do you get nervous when you speak,15.428571,1,1,1,25
pumping helps if the roads are slippery,15.230769,1,0,1,32
parking tickets can be challenged,16.571429,0,0,1,29
apartments are too expensive,12.0,1,0,0,24
find a nearby parking spot,11.478261,1,1,0,20
gun powder must be handled with care,18.0,0,0,0,30
just what the doctor ordered,9.6,0,1,1,23
a rattle snake is very poisonous,16.2,0,1,1,26
weeping willows are found near water,18.6,1,1,1,29
I cannot believe I ate the whole thing,14.307692,1,0,1,30
the biggest hamburger I have ever seen,15.36,0,1,0,31
gamblers eventually loose their shirts,16.32,1,0,0,33
exercise is good for the mind,10.666667,1,1,0,22
irregular verbs are the hardest to learn,18.545455,0,0,0,34
they might find your comment offensive,14.142857,0,0,0,33
tell a lie and your nose will grow,11.571429,0,0,1,27
an enlarged nose suggests you are a liar,13.2,0,1,0,32
lie detector tests never work,12.5,0,0,1,25
do not lie in court or else,9.0,1,1,0,19
most judges are very honest,12.0,0,0,0,23
only an idiot would lie in court,13.565217,0,1,1,25
important news always seems to be late,16.0,0,0,0,32
please try to be home before midnight,15.5,1,0,0,30
if you come home late the doors are locked,14.571429,0,0,1,34
dormitory doors are locked at midnight,18.857143,0,1,0,32
staying up all night is a bad idea,15.428571,0,0,0,27
you are a capitalist pig,10.909091,0,1,0,19
motivational seminars make me sick,18.0,1,1,1,28
questioning the wisdom of the courts,14.307692,0,0,1,31
rejection letters are discouraging,18.6,0,1,1,30
the first time he tried to swim,11.111111,0,0,1,25
that referendum asked a silly question,19.8,1,1,0,31
a steep learning curve in riding a unicycle,18.0,0,0,1,36
a good stimulus deserves a good response,13.6,1,1,1,32
everybody looses in custody battles,17.714286,1,1,1,29
put garbage in an abandoned mine,13.5,0,1,1,26
employee recruitment takes a lot of effort,21.6,1,0,1,35
experience is hard to come by,9.6,0,0,1,24
everyone wants to win the lottery,14.0,0,0,1,28
the picket line gives me the chills,16.571429,1,0,1,28
